name,review_count,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,restaurant_main_type,star,neighborhood
Ben and Jack's Steakhouse 44th Street,714,4.6714,4.6,4.7,4.4,4.2,$50 and over,0,2,7,17,74,Steakhouse,0.0,Gramercy Park and Murray Hill
Benchmark Restaurant,836,4.5836,4.5,4.4,4.4,4.1,$31 to $50,2,2,8,23,65,Contemporary American,0.0,
Benjamin Steakhouse Prime,356,4.8356,4.7,4.8,4.6,4.3,$50 and over,0,1,4,13,82,American,0.0,Gramercy Park and Murray Hill
Benoit Restaurant and Wine Bar,3170,4.5317,4.5,4.4,4.4,4.0,$31 to $50,1,3,8,24,64,French,0.0,Chelsea and Clinton
Bistrot Leo,16,4.316,4.2,4.1,4.3,3.8,$31 to $50,4,6,10,17,63,French,0.0,Greenwich Village and Soho
Blenheim,388,4.3388,4.2,4.1,4.3,3.8,$31 to $50,2,7,9,19,63,Contemporary American,0.0,Greenwich Village and Soho
Blue Fin - New York,6558,4.3655800000000005,4.4,4.3,4.2,3.8,$31 to $50,1,3,10,31,55,Seafood,0.0,Chelsea and Clinton
Blue Water Grill,5011,4.55011,4.4,4.3,4.4,3.9,$31 to $50,2,3,6,25,64,Seafood,0.0,Lower East Side
Bobby Van's Grill - 50th Street,1744,4.61744,4.4,4.6,4.3,4.0,$31 to $50,0,3,6,23,68,American,0.0,Chelsea and Clinton
Bobby Van's Grill Times Square,1095,4.31095,4.3,4.3,4.2,3.9,$50 and over,2,7,10,19,62,American,0.0,Chelsea and Clinton
Bobby Van's Steakhouse - 54th Street,897,4.7897,4.6,4.5,4.4,4.2,$31 to $50,2,2,2,15,79,Steakhouse,0.0,
Bobby Van's Steakhouse - Broad Street,768,4.4768,4.4,4.3,4.3,3.9,$31 to $50,0,1,18,19,62,Steakhouse,0.0,Lower Manhattan
Bobo Restaurant,1108,4.71108,4.5,4.5,4.6,4.3,$30 and under,0,1,5,20,74,French,0.0,Greenwich Village and Soho
Bob's Steak & Chop House-New York,117,4.6117,4.6,4.7,4.5,4.3,$50 and over,1,1,3,21,74,Steakhouse,0.0,Gramercy Park and Murray Hill
Bocca,1561,4.41561,4.4,4.4,4.1,4.0,$30 and under,1,3,10,25,61,Italian,0.0,Lower East Side
Bocca Di Bacco (Chelsea - 20th St.),445,4.2445,4.2,3.9,4.1,3.9,$30 and under,2,5,14,28,51,Italian,0.0,Chelsea and Clinton
Bocca di Bacco (Hell's Kitchen - 54th St.),1627,4.61627,4.6,4.5,4.4,4.3,$30 and under,0,1,6,26,67,Italian,0.0,Chelsea and Clinton
Bocca Di Bacco (Theatre District - 45th St.),1957,4.419569999999999,4.5,4.4,4.2,4.1,$30 and under,1,1,7,32,59,Italian,0.0,Chelsea and Clinton
Bodega Negra,661,4.6661,4.5,4.3,4.5,4.1,$50 and over,1,4,6,14,75,Mexican,0.0,Chelsea and Clinton
Boucherie - Park Avenue South,128,4.3128,4.2,4.2,4.4,3.8,$31 to $50,2,4,10,25,59,French,0.0,Lower East Side
Boucherie - West Village,546,4.4546,4.3,4.0,4.4,3.8,$31 to $50,2,3,10,24,61,French,0.0,Greenwich Village and Soho
Boulud Sud,4853,4.64853,4.6,4.5,4.4,4.1,$50 and over,1,2,6,20,71,Mediterranean,0.0,Upper West Side
Brasserie 8 1/2,3619,4.53619,4.4,4.5,4.5,4.3,$31 to $50,1,2,7,29,61,French,0.0,Chelsea and Clinton
Brasserie Cognac,1476,4.1147599999999995,4.1,3.9,4.0,3.8,$31 to $50,3,6,13,34,44,French,0.0,Chelsea and Clinton
Brasserie Ruhlmann,1360,4.5136,4.4,4.2,4.4,3.8,$31 to $50,1,1,8,26,64,French,0.0,Chelsea and Clinton
Brasserie Seoul,20,3.82,4.1,3.6,3.9,3.6,$30 and under,9,9,17,22,43,French,0.0,
Bread & Tulips,472,4.5472,4.4,4.2,4.3,4.2,$30 and under,0,0,11,32,57,Italian,0.0,Gramercy Park and Murray Hill
Burke & Wills,516,4.6516,4.5,4.6,4.6,4.1,$31 to $50,1,2,5,25,67,Other,0.0,Upper West Side
Butter Midtown,3135,4.23135,4.2,4.1,4.3,3.7,$31 to $50,2,7,13,22,56,Contemporary American,0.0,Chelsea and Clinton
Buttermilk Channel,524,4.7524,4.7,4.7,4.6,4.4,$31 to $50,1,1,2,16,80,American,0.0,
Cafe Centro,2006,4.52006,4.3,4.4,4.3,3.9,$31 to $50,0,2,9,28,61,French,0.0,
Cafe d'Alsace,1664,4.41664,4.4,4.2,4.2,4.1,$31 to $50,0,2,10,32,56,French,0.0,Upper East Side
Calle Ocho,3465,4.33465,4.3,4.2,4.3,4.1,$31 to $50,3,3,10,26,58,Spanish,0.0,Upper West Side
Casa Lever,1092,4.71092,4.6,4.6,4.6,4.1,$50 and over,1,1,4,16,78,Italian,0.0,Gramercy Park and Murray Hill
Casa Nonna - Midtown,1721,4.5172099999999995,4.4,4.4,4.4,4.0,$31 to $50,0,2,8,29,61,Italian,0.0,Gramercy Park and Murray Hill
Catch New York,4830,4.5483,4.6,4.2,4.4,4.0,$31 to $50,3,2,6,15,74,Seafood,0.0,Greenwich Village and Soho
'Cesca,2749,4.12749,4.1,3.8,4.1,3.7,$31 to $50,4,7,14,26,49,Italian,0.0,Upper West Side
Charlie Palmer at The Knick,315,4.3315,4.1,4.1,4.3,3.6,$31 to $50,2,4,13,26,55,Contemporary American,0.0,Chelsea and Clinton
